Star: J0954;    Mass table: frdm2012
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
      0.415      220.0      7.6471    -60.0313    -13.8333
      0.415      225.0      8.2620    -51.8096    -10.8103
      0.415      230.0      8.7691    -44.7259     -8.2210
      0.415      235.0      9.2153    -38.2678     -5.8715
      0.415      240.0      9.6206    -32.1716     -3.6643
      0.415      245.0     10.0047    -26.2076     -1.5134
      0.415      250.0     10.3903    -20.2509      0.6361
      0.415      255.0     10.7758    -14.3958      2.7534
      0.415      260.0     11.1248     -8.8112      4.7602
      0.415      265.0     11.4199     -3.6010      6.6118
      0.415      270.0     11.6606      1.0082      8.2358
      0.415      275.0     11.8402      4.8267      9.5679
      0.415      280.0     11.9707      7.8500     10.6147
      0.415      285.0     12.0719     10.1717     11.4192
      0.415      290.0     12.1585     11.8969     12.0247
      0.415      295.0     12.2380     13.1248     12.4678
      0.415      300.0     12.3132     13.9569     12.7826
      0.415      305.0     12.3833     14.5052     13.0040
      0.415      310.0     12.4455     14.8637     13.1598
      0.415      315.0     12.4959     15.0927     13.2666
      0.415      320.0     12.5350     15.2467     13.3419
      0.415      325.0     12.5627     15.3474     13.3926
      0.415      330.0     12.5824     15.4190     13.4287
      0.415      335.0     12.5951     15.4677     13.4528
      0.415      340.0     12.6021     15.4950     13.4662
      0.415      345.0     12.6039     15.5012     13.4693
      0.415      350.0     12.6039     15.5012     13.4693
      0.415      355.0     12.6039     15.5012     13.4693
      0.415      360.0     12.6039     15.5012     13.4693
      0.415      365.0     12.6039     15.5012     13.4693
      0.415      370.0     12.6039     15.5012     13.4693
      0.415      375.0     12.6039     15.5012     13.4693
      0.415      380.0     12.6039     15.5012     13.4693
      0.415      385.0     12.6039     15.5012     13.4693
      0.415      390.0     12.6039     15.5012     13.4693
      0.415      395.0     12.6039     15.5012     13.4693
      0.415      400.0     12.6039     15.5012     13.4693
      0.420      200.0      4.1642   -134.5422    -39.8115
      0.420      205.0      5.0095   -117.8913    -33.9607
      0.420      210.0      5.5115   -101.0231    -28.2741
      0.420      215.0      6.0716    -81.3462    -21.6580
      0.420      220.0      7.0374    -67.5161    -16.6193
      0.420      225.0      7.8024    -57.5651    -12.9463
      0.420      230.0      8.3971    -49.6009    -10.0186
      0.420      235.0      8.8940    -42.6862     -7.4898
      0.420      240.0      9.3334    -36.3585     -5.1861
      0.420      245.0      9.7334    -30.3639     -3.0148
      0.420      250.0     10.1165    -24.4751     -0.8885
      0.420      255.0     10.5030    -18.6030      1.2349
      0.420      260.0     10.8824    -12.8630      3.3116
      0.420      265.0     11.2158     -7.4126      5.2652
      0.420      270.0     11.4926     -2.3647      7.0529
      0.420      275.0     11.7136      2.0636      8.6063
      0.420      280.0     11.8781      5.7243      9.8782
      0.420      285.0     12.0000      8.6263     10.8806
      0.420      290.0     12.0968     10.8564     11.6531
      0.420      295.0     12.1812     12.5119     12.2350
      0.420      300.0     12.2595     13.6857     12.6602
      0.420      305.0     12.3339     14.4806     12.9626
      0.420      310.0     12.4031     14.9952     13.1727
      0.420      315.0     12.4630     15.3203     13.3164
      0.420      320.0     12.5107     15.5298     13.4152
      0.420      325.0     12.5468     15.6695     13.4839
      0.420      330.0     12.5733     15.7667     13.5327
      0.420      335.0     12.5918     15.8354     13.5671
      0.420      340.0     12.6034     15.8813     13.5895
      0.420      345.0     12.6096     15.9053     13.6013
      0.420      350.0     12.6104     15.9083     13.6028
      0.420      355.0     12.6104     15.9083     13.6028
      0.420      360.0     12.6104     15.9083     13.6028
      0.420      365.0     12.6104     15.9083     13.6028
      0.420      370.0     12.6104     15.9083     13.6028
      0.420      375.0     12.6104     15.9083     13.6028
      0.420      380.0     12.6104     15.9082     13.6028
      0.420      385.0     12.6104     15.9082     13.6028
      0.420      390.0     12.6104     15.9082     13.6028
      0.420      395.0     12.6104     15.9082     13.6028
      0.420      400.0     12.6104     15.9082     13.6028
      0.425      200.0      3.1660   -149.5922    -45.2588
      0.425      205.0      4.3472   -131.3362    -38.6713
      0.425      210.0      5.1559   -114.7205    -32.8565
      0.425      215.0      5.5732    -97.0217    -26.9642
      0.425      220.0      6.2746    -77.8073    -20.3986
      0.425      225.0      7.2225    -64.7011    -15.6015
      0.425      230.0      7.9573    -55.1464    -12.0746
      0.425      235.0      8.5347    -47.4151     -9.2324
      0.425      240.0      9.0226    -40.6588     -6.7600
      0.425      245.0      9.4549    -34.4579     -4.5014
      0.425      250.0      9.8497    -28.5619     -2.3648
      0.425      255.0     10.2322    -22.7522     -0.2639
      0.425      260.0     10.6178    -16.9761      1.8284
      0.425      265.0     10.9872    -11.3609      3.8587
      0.425      270.0     11.3028     -6.0513      5.7557
      0.425      275.0     11.5603     -1.1688      7.4779
      0.425      280.0     11.7628      3.0879      8.9643
      0.425      285.0     11.9141      6.6029     10.1810
      0.425      290.0     12.0284      9.3951     11.1435
      0.425      295.0     12.1214     11.5430     11.8874
      0.425      300.0     12.2039     13.1340     12.4476
      0.425      305.0     12.2817     14.2334     12.8489
      0.425      310.0     12.3558     14.9557     13.1281
      0.425      315.0     12.4239     15.4248     13.3230
      0.425      320.0     12.4821     15.7280     13.4585
      0.425      325.0     12.5280     15.9260     13.5524
      0.425      330.0     12.5625     16.0596     13.6182
      0.425      335.0     12.5876     16.1527     13.6648
      0.425      340.0     12.6048     16.2182     13.6972
      0.425      345.0     12.6153     16.2608     13.7178
      0.425      350.0     12.6206     16.2809     13.7278
      0.425      355.0     12.6206     16.2810     13.7278
      0.425      360.0     12.6206     16.2810     13.7278
      0.425      365.0     12.6206     16.2810     13.7278
      0.425      370.0     12.6206     16.2810     13.7278
      0.425      375.0     12.6206     16.2810     13.7278
      0.425      380.0     12.6206     16.2810     13.7278
      0.425      385.0     12.6206     16.2810     13.7278
      0.425      390.0     12.6206     16.2810     13.7278
      0.425      395.0     12.6206     16.2810     13.7278
      0.425      400.0     12.6206     16.2810     13.7278
      0.430      200.0      1.6304   -165.5536    -51.3598
      0.430      205.0      3.4045   -146.4595    -44.1041
      0.430      210.0      4.5202   -128.2077    -37.5624
      0.430      215.0      5.2979   -111.5713    -31.7620
      0.430      220.0      5.6434    -92.9032    -25.6112
      0.430      225.0      6.4784    -74.4111    -19.1840
      0.430      230.0      7.4051    -61.9527    -14.6065
      0.430      235.0      8.1139    -52.7557    -11.2106
      0.430      240.0      8.6765    -45.2400     -8.4468
      0.430      245.0      9.1552    -38.6356     -6.0288
      0.430      250.0      9.5795    -32.5600     -3.8153
      0.430      255.0      9.9695    -26.7621     -1.7131
      0.430      260.0     10.3511    -21.0387      0.3599
      0.430      265.0     10.7336    -15.3687      2.4164
      0.430      270.0     11.0896     -9.8858      4.3957
      0.430      275.0     11.3860     -4.7218      6.2335
      0.430      280.0     11.6239     -0.0038      7.8903
      0.430      285.0     11.8091      4.0906      9.3136
      0.430      290.0     11.9486      7.4719     10.4799
      0.430      295.0     12.0565     10.1610     11.4054
      0.430      300.0     12.1466     12.2252     12.1207
      0.430      305.0     12.2289     13.6980     12.6433
      0.430      310.0     12.3067     14.7155     13.0186
      0.430      315.0     12.3807     15.3893     13.2823
      0.430      320.0     12.4478     15.8271     13.4667
      0.430      325.0     12.5043     16.1121     13.5953
      0.430      330.0     12.5483     16.2991     13.6845
      0.430      335.0     12.5812     16.4260     13.7470
      0.430      340.0     12.6047     16.5147     13.7911
      0.430      345.0     12.6205     16.5763     13.8213
      0.430      350.0     12.6297     16.6147     13.8397
      0.430      355.0     12.6339     16.6302     13.8475
      0.430      360.0     12.6339     16.6302     13.8475
      0.430      365.0     12.6339     16.6302     13.8475
      0.430      370.0     12.6339     16.6302     13.8475
      0.430      375.0     12.6339     16.6302     13.8475
      0.430      380.0     12.6339     16.6302     13.8475
      0.430      385.0     12.6339     16.6302     13.8475
      0.430      390.0     12.6339     16.6302     13.8475
      0.430      395.0     12.6339     16.6302     13.8475
      0.430      400.0     12.6339     16.6302     13.8475
      0.435      200.0     -1.0549   -184.6789    -59.2440
      0.435      205.0      1.9585   -162.4598    -50.1566
      0.435      210.0      3.6349   -143.3701    -42.9686
      0.435      215.0      4.6887   -125.1479    -36.4783
      0.435      220.0      5.4360   -108.4423    -30.6767
      0.435      225.0      5.7401    -88.8172    -24.2507
      0.435      230.0      6.6803    -71.1659    -18.0184
      0.435      235.0      7.5850    -59.2822    -13.6381
      0.435      240.0      8.2716    -50.3995    -10.3569
      0.435      245.0      8.8214    -43.0779     -7.6633
      0.435      250.0      9.2912    -36.6164     -5.2966
      0.435      255.0      9.7074    -30.6615     -3.1268
      0.435      260.0     10.0931    -24.9625     -1.0589
      0.435      265.0     10.4731    -19.3342      0.9828
      0.435      270.0     10.8488    -13.7823      2.9974
      0.435      275.0     11.1884     -8.4375      4.9218
      0.435      280.0     11.4648     -3.4218      6.6990
      0.435      285.0     11.6838      1.1354      8.2920
      0.435      290.0     11.8535      5.0806      9.6574
      0.435      295.0     11.9844      8.3278     10.7754
      0.435      300.0     12.0884     10.8786     11.6544
      0.435      305.0     12.1776     12.8098     12.3270
      0.435      310.0     12.2594     14.2031     12.8241
      0.435      315.0     12.3374     15.1593     13.1801
      0.435      320.0     12.4112     15.7893     13.4298
      0.435      325.0     12.4773     16.1989     13.6045
      0.435      330.0     12.5318     16.4645     13.7257
      0.435      335.0     12.5738     16.6400     13.8098
      0.435      340.0     12.6047     16.7597     13.8687
      0.435      345.0     12.6264     16.8432     13.9100
      0.435      350.0     12.6405     16.9002     13.9375
      0.435      355.0     12.6482     16.9331     13.9532
      0.435      360.0     12.6510     16.9426     13.9581
      0.435      365.0     12.6510     16.9426     13.9581
      0.435      370.0     12.6510     16.9426     13.9581
      0.435      375.0     12.6510     16.9426     13.9581
      0.435      380.0     12.6510     16.9426     13.9581
      0.435      385.0     12.6510     16.9426     13.9581
      0.435      390.0     12.6510     16.9426     13.9581
      0.435      395.0     12.6510     16.9426     13.9581
      0.435      400.0     12.6510     16.9426     13.9581
      0.440      200.0     -2.2406   -211.9311    -68.6856
      0.440      205.0     -0.5654   -181.1137    -57.7818
      0.440      210.0      2.2746   -159.5057    -49.0058
      0.440      215.0      3.8488   -140.4095    -41.8851
      0.440      220.0      4.8556   -122.1993    -35.4305
      0.440      225.0      5.5713   -105.3364    -29.6005
      0.440      230.0      5.8731    -84.9105    -22.9223
      0.440      235.0      6.8842    -68.0823    -16.9028
      0.440      240.0      7.7674    -56.6802    -12.6896
      0.440      245.0      8.4352    -48.0652     -9.5060
      0.440      250.0      8.9729    -40.9156     -6.8751
      0.440      255.0      9.4326    -34.5895     -4.5582
      0.440      260.0      9.8403    -28.7540     -2.4320
      0.440      265.0     10.2217    -23.1552     -0.3987
      0.440      270.0     10.5987    -17.6331      1.6072
      0.440      275.0     10.9642    -12.2081      3.5746
      0.440      280.0     11.2851     -7.0025      5.4422
      0.440      285.0     11.5434     -2.1007      7.1710
      0.440      290.0     11.7502      2.3875      8.7338
      0.440      295.0     11.9076      6.2052     10.0506
      0.440      300.0     12.0288      9.3105     11.1170
      0.440      305.0     12.1276     11.7436     11.9551
      0.440      310.0     12.2144     13.5726     12.5937
      0.440      315.0     12.2952     14.8817     13.0635
      0.440      320.0     12.3729     15.7697     13.3976
      0.440      325.0     12.4459     16.3509     13.6314
      0.440      330.0     12.5102     16.7266     13.7941
      0.440      335.0     12.5620     16.9704     13.9065
      0.440      340.0     12.6013     17.1320     13.9844
      0.440      345.0     12.6297     17.2425     14.0387
      0.440      350.0     12.6491     17.3191     14.0762
      0.440      355.0     12.6610     17.3695     14.1002
      0.440      360.0     12.6671     17.3950     14.1125
      0.440      365.0     12.6678     17.3974     14.1137
      0.440      370.0     12.6678     17.3974     14.1137
      0.440      375.0     12.6678     17.3974     14.1137
      0.440      380.0     12.6678     17.3974     14.1137
      0.440      385.0     12.6678     17.3974     14.1137
      0.440      390.0     12.6678     17.3974     14.1137
      0.440      395.0     12.6678     17.3974     14.1137
      0.440      400.0     12.6678     17.3974     14.1137
      0.445      200.0     -3.4923   -219.9985    -72.0921
      0.445      205.0     -2.2252   -208.1986    -67.4923
      0.445      210.0     -0.1148   -177.9552    -56.4748
      0.445      215.0      2.5602   -156.7724    -47.9456
      0.445      220.0      4.0496   -137.6206    -40.8650
      0.445      225.0      5.0201   -119.4370    -34.4434
      0.445      230.0      5.7030   -102.2957    -28.5474
      0.445      235.0      6.0428    -81.2809    -21.6568
      0.445      240.0      7.0918    -65.1738    -15.8400
      0.445      245.0      7.9545    -54.1596    -11.7637
      0.445      250.0      8.6054    -45.7607     -8.6601
      0.445      255.0      9.1311    -38.7556     -6.0832
      0.445      260.0      9.5802    -32.5516     -3.8121
      0.445      265.0      9.9800    -26.8265     -1.7264
      0.445      270.0     10.3571    -21.3290      0.2719
      0.445      275.0     10.7287    -15.9158      2.2397
      0.445      280.0     11.0970    -10.4524      4.2212
      0.445      285.0     11.4080     -5.1925      6.0993
      0.445      290.0     11.6467     -0.3391      7.7994
      0.445      295.0     11.8293      3.9577      9.2852
      0.445      300.0     11.9693      7.5879     10.5307
      0.445      305.0     12.0800     10.5324     11.5390
      0.445      310.0     12.1732     12.8297     12.3303
      0.445      315.0     12.2573     14.5434     12.9305
      0.445      320.0     12.3370     15.7530     13.3680
      0.445      325.0     12.4140     16.5632     13.6770
      0.445      330.0     12.4856     17.0880     13.8919
      0.445      335.0     12.5469     17.4248     14.0403
      0.445      340.0     12.5951     17.6431     14.1422
      0.445      345.0     12.6309     17.7882     14.2125
      0.445      350.0     12.6561     17.8872     14.2610
      0.445      355.0     12.6726     17.9546     14.2935
      0.445      360.0     12.6819     17.9956     14.3129
      0.445      365.0     12.6860     18.0112     14.3206
      0.445      370.0     12.6860     18.0112     14.3206
      0.445      375.0     12.6860     18.0112     14.3206
      0.445      380.0     12.6860     18.0112     14.3206
      0.445      385.0     12.6860     18.0112     14.3206
      0.445      390.0     12.6860     18.0112     14.3206
      0.445      395.0     12.6860     18.0112     14.3206
      0.445      400.0     12.6860     18.0112     14.3206
      0.450      200.0     -4.6414   -342.2638   -111.6201
      0.450      205.0     -3.3802   -216.8691    -71.0242
      0.450      210.0     -2.2127   -204.2500    -66.2324
      0.450      215.0      0.2718   -175.1483    -55.3228
      0.450      220.0      2.8142   -154.2652    -46.9786
      0.450      225.0      4.2360   -135.0726    -39.9309
      0.450      230.0      5.1884   -116.8773    -33.5180
      0.450      235.0      5.8334    -99.3790    -27.5345
      0.450      240.0      6.2360    -78.0069    -20.4880
      0.450      245.0      7.3063    -62.4331    -14.8258
      0.450      250.0      8.1501    -51.7032    -10.8525
      0.450      255.0      8.7852    -43.4632     -7.8099
      0.450      260.0      9.2984    -36.5732     -5.2780
