Star: CS31082;    Mass table: ws4
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      7.1519   -137.2261    -38.6338
      0.400      205.0      8.1546   -119.4197    -32.3099
      0.400      210.0      9.1144   -102.8916    -26.4203
      0.400      215.0     10.0023    -87.1701    -20.8351
      0.400      220.0     10.7935    -71.9103    -15.4618
      0.400      225.0     11.5131    -57.0336    -10.2586
      0.400      230.0     12.1741    -42.3296     -5.1500
      0.400      235.0     12.9496    -29.6212     -0.5960
      0.400      240.0     13.5540    -19.5926      2.9926
      0.400      245.0     13.9667    -11.5936      5.8078
      0.400      250.0     14.2822     -5.1209      8.0733
      0.400      255.0     14.5486      0.1304      9.9183
      0.400      260.0     14.7772      4.3650     11.4155
      0.400      265.0     14.9715      7.7448     12.6186
      0.400      270.0     15.1368     10.4083     13.5749
      0.400      275.0     15.2783     12.4821     14.3282
      0.400      280.0     15.4005     14.0934     14.9218
      0.400      285.0     15.5110     15.3240     15.3868
      0.400      290.0     15.5910     16.1621     15.7068
      0.400      295.0     15.6448     16.7279     15.9226
      0.400      300.0     15.6867     17.1394     16.0814
      0.400      305.0     15.7211     17.4461     16.2020
      0.400      310.0     15.7486     17.6638     16.2897
      0.400      315.0     15.7684     17.8024     16.3470
      0.400      320.0     15.7805     17.8785     16.3794
      0.400      325.0     15.7863     17.9131     16.3943
      0.400      330.0     15.7887     17.9273     16.4004
      0.400      335.0     15.7894     17.9308     16.4020
      0.400      340.0     15.7894     17.9308     16.4020
      0.400      345.0     15.7894     17.9308     16.4020
      0.400      350.0     15.7894     17.9308     16.4019
      0.400      355.0     15.7894     17.9308     16.4019
      0.400      360.0     15.7894     17.9308     16.4019
      0.400      365.0     15.7894     17.9308     16.4019
      0.400      370.0     15.7894     17.9308     16.4019
      0.400      375.0     15.7894     17.9308     16.4019
      0.400      380.0     15.7894     17.9308     16.4019
      0.400      385.0     15.7893     17.9308     16.4019
      0.400      390.0     15.7893     17.9308     16.4019
      0.400      395.0     15.7893     17.9308     16.4019
      0.400      400.0     15.7893     17.9308     16.4019
      0.405      200.0      6.1462   -153.6336    -44.5164
      0.405      205.0      7.2734   -133.9974    -37.5281
      0.405      210.0      8.3084   -116.3650    -31.2374
      0.405      215.0      9.2798   -100.0072    -25.3939
      0.405      220.0     10.1536    -84.4073    -19.8568
      0.405      225.0     10.9216    -69.2587    -14.5345
      0.405      230.0     11.6306    -54.4763     -9.3684
      0.405      235.0     12.3002    -39.9560     -4.3121
      0.405      240.0     13.0624    -27.6828      0.0949
      0.405      245.0     13.6316    -18.0060      3.5481
      0.405      250.0     14.0253    -10.2664      6.2682
      0.405      255.0     14.3335     -3.9939      8.4653
      0.405      260.0     14.5954      1.0960     10.2561
      0.405      265.0     14.8195      5.1984     11.7084
      0.405      270.0     15.0096      8.4699     12.8743
      0.405      275.0     15.1713     11.0462     13.8005
      0.405      280.0     15.3092     13.0516     14.5297
      0.405      285.0     15.4286     14.6113     15.1050
      0.405      290.0     15.5353     15.7924     15.5518
      0.405      295.0     15.6111     16.5927     15.8568
      0.405      300.0     15.6627     17.1370     16.0644
      0.405      305.0     15.7034     17.5351     16.2182
      0.405      310.0     15.7370     17.8317     16.3350
      0.405      315.0     15.7638     18.0414     16.4196
      0.405      320.0     15.7829     18.1742     16.4747
      0.405      325.0     15.7943     18.2461     16.5053
      0.405      330.0     15.7993     18.2760     16.5181
      0.405      335.0     15.8014     18.2878     16.5232
      0.405      340.0     15.8014     18.2881     16.5233
      0.405      345.0     15.8014     18.2881     16.5233
      0.405      350.0     15.8014     18.2881     16.5233
      0.405      355.0     15.8014     18.2881     16.5233
      0.405      360.0     15.8014     18.2881     16.5233
      0.405      365.0     15.8014     18.2881     16.5233
      0.405      370.0     15.8014     18.2881     16.5233
      0.405      375.0     15.8014     18.2881     16.5233
      0.405      380.0     15.8014     18.2881     16.5233
      0.405      385.0     15.8014     18.2881     16.5233
      0.405      390.0     15.8014     18.2881     16.5233
      0.405      395.0     15.8014     18.2881     16.5233
      0.405      400.0     15.8014     18.2881     16.5233
      0.410      200.0      4.9542   -172.6089    -51.3392
      0.410      205.0      6.2686   -150.1898    -43.3419
      0.410      210.0      7.4094   -130.8039    -36.4237
      0.410      215.0      8.4742   -113.3673    -30.1749
      0.410      220.0      9.4472    -97.1748    -24.3826
      0.410      225.0     10.2982    -81.6926    -18.8983
      0.410      230.0     11.0464    -66.6673    -13.6286
      0.410      235.0     11.7442    -51.9720     -8.4977
      0.410      240.0     12.4271    -37.6857     -3.5064
      0.410      245.0     13.1679    -25.8374      0.7514
      0.410      250.0     13.7043    -16.4935      4.0768
      0.410      255.0     14.0820     -9.0006      6.7079
      0.410      260.0     14.3838     -2.9192      8.8400
      0.410      265.0     14.6411      2.0159     10.5787
      0.410      270.0     14.8607      5.9916     11.9877
      0.410      275.0     15.0466      9.1602     13.1181
      0.410      280.0     15.2046     11.6536     14.0156
      0.410      285.0     15.3391     13.5941     14.7219
      0.410      290.0     15.4555     15.1039     15.2794
      0.410      295.0     15.5583     16.2377     15.7085
      0.410      300.0     15.6302     17.0034     16.0000
      0.410      305.0     15.6801     17.5279     16.2000
      0.410      310.0     15.7196     17.9133     16.3491
      0.410      315.0     15.7525     18.2004     16.4623
      0.410      320.0     15.7785     18.4025     16.5441
      0.410      325.0     15.7967     18.5274     16.5960
      0.410      330.0     15.8065     18.5884     16.6220
      0.410      335.0     15.8107     18.6137     16.6329
      0.410      340.0     15.8125     18.6240     16.6373
      0.410      345.0     15.8125     18.6240     16.6373
      0.410      350.0     15.8125     18.6240     16.6373
