Star: BD17;    Mass table: dz28
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
      0.415      220.0      7.4993   -169.1971    -48.5301
      0.415      225.0      8.8673   -146.3367    -40.3565
      0.415      230.0      9.7545   -123.8021    -32.6126
      0.415      235.0     10.2662   -101.6090    -25.2319
      0.415      240.0     10.6334    -80.0148    -18.1390
      0.415      245.0     10.9738    -59.5909    -11.4353
      0.415      250.0     11.3798    -41.3970     -5.3937
      0.415      255.0     11.8925    -26.0748     -0.1897
      0.415      260.0     12.3810    -13.5787      4.1022
      0.415      265.0     12.7376     -3.6096      7.5036
      0.415      270.0     12.9722      4.3217     10.1764
      0.415      275.0     13.1434     10.7549     12.3315
      0.415      280.0     13.2954     15.9597     14.0841
      0.415      285.0     13.4360     19.9849     15.4552
      0.415      290.0     13.5527     22.8891     16.4549
      0.415      295.0     13.6407     24.8449     17.1344
      0.415      300.0     13.7083     26.0978     17.5774
      0.415      305.0     13.7636     26.8916     17.8665
      0.415      310.0     13.8073     27.4007     18.0575
      0.415      315.0     13.8391     27.7310     18.1838
      0.415      320.0     13.8650     27.9653     18.2756
      0.415      325.0     13.8856     28.1201     18.3386
      0.415      330.0     13.8961     28.2025     18.3719
      0.415      335.0     13.8977     28.2270     18.3808
      0.415      340.0     13.8978     28.2287     18.3813
      0.415      345.0     13.8978     28.2286     18.3813
      0.415      350.0     13.8978     28.2286     18.3813
      0.415      355.0     13.8978     28.2286     18.3813
      0.415      360.0     13.8978     28.2286     18.3813
      0.415      365.0     13.8978     28.2286     18.3813
      0.415      370.0     13.8978     28.2286     18.3813
      0.415      375.0     13.8978     28.2286     18.3813
      0.415      380.0     13.8978     28.2286     18.3813
      0.415      385.0     13.8978     28.2286     18.3813
      0.415      390.0     13.8978     28.2286     18.3813
      0.415      395.0     13.8978     28.2286     18.3813
      0.415      400.0     13.8978     28.2285     18.3813
      0.420      200.0      0.8633   -265.9996    -83.7136
      0.420      205.0      2.4305   -249.3625    -77.3771
      0.420      210.0      3.8100   -232.7463    -71.1745
      0.420      215.0      4.8426   -212.2001    -63.9621
      0.420      220.0      6.2088   -188.3172    -55.4657
      0.420      225.0      7.8214   -164.8139    -46.9223
      0.420      230.0      9.0687   -141.9350    -38.8248
      0.420      235.0      9.8533   -119.4087    -31.1532
      0.420      240.0     10.3167    -97.2960    -23.8307
      0.420      245.0     10.6795    -75.8854    -16.7991
      0.420      250.0     11.0188    -55.8140    -10.2077
      0.420      255.0     11.4568    -38.2050     -4.3298
      0.420      260.0     11.9812    -23.4642      0.6978
      0.420      265.0     12.4542    -11.4730      4.8191
      0.420      270.0     12.7905     -1.9185      8.0754
      0.420      275.0     13.0116      5.6845     10.6351
      0.420      280.0     13.1768     11.8623     12.7050
      0.420      285.0     13.3256     16.8591     14.3897
      0.420      290.0     13.4628     20.7146     15.7047
      0.420      295.0     13.5755     23.4835     16.6587
      0.420      300.0     13.6604     25.3329     17.3025
      0.420      305.0     13.7263     26.5122     17.7209
      0.420      310.0     13.7798     27.2453     17.9895
      0.420      315.0     13.8205     27.7024     18.1620
      0.420      320.0     13.8503     28.0044     18.2780
      0.420      325.0     13.8753     28.2184     18.3628
      0.420      330.0     13.8948     28.3637     18.4221
      0.420      335.0     13.9037     28.4359     18.4510
      0.420      340.0     13.9049     28.4562     18.4583
      0.420      345.0     13.9049     28.4573     18.4586
      0.420      350.0     13.9049     28.4572     18.4586
      0.420      355.0     13.9049     28.4572     18.4586
