Star: J0954;    Mass table: ws4
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
=============================================================
      0.400      200.0      4.5359   -146.2267    -43.2080
      0.400      205.0      5.5386   -128.4380    -36.8922
      0.400      210.0      6.4984   -111.9296    -31.0104
      0.400      215.0      7.3863    -96.2287    -25.4329
      0.400      220.0      8.1775    -80.9859    -20.0659
      0.400      225.0      8.8971    -66.1194    -14.8666
      0.400      230.0      9.5581    -51.4205     -9.7600
      0.400      235.0     10.3336    -38.7149     -5.2069
      0.400      240.0     10.9380    -28.6884     -1.6190
      0.400      245.0     11.3507    -20.6919      1.1956
      0.400      250.0     11.6662    -14.2221      3.4603
      0.400      255.0     11.9326     -8.9743      5.3046
      0.400      260.0     12.1612     -4.7432      6.8010
      0.400      265.0     12.3555     -1.3669      8.0033
      0.400      270.0     12.5208      1.2938      8.9592
      0.400      275.0     12.6623      3.3657      9.7122
      0.400      280.0     12.7845      4.9763     10.3058
      0.400      285.0     12.8950      6.2070     10.7710
      0.400      290.0     12.9750      7.0459     11.0912
      0.400      295.0     13.0288      7.6125     11.3073
      0.400      300.0     13.0707      8.0246     11.4663
      0.400      305.0     13.1051      8.3317     11.5871
      0.400      310.0     13.1326      8.5497     11.6749
      0.400      315.0     13.1524      8.6886     11.7323
      0.400      320.0     13.1645      8.7649     11.7647
      0.400      325.0     13.1703      8.7996     11.7796
      0.400      330.0     13.1727      8.8139     11.7858
      0.400      335.0     13.1734      8.8175     11.7874
      0.400      340.0     13.1734      8.8175     11.7874
      0.400      345.0     13.1734      8.8175     11.7874
      0.400      350.0     13.1734      8.8175     11.7874
      0.400      355.0     13.1734      8.8175     11.7874
      0.400      360.0     13.1734      8.8175     11.7874
      0.400      365.0     13.1734      8.8174     11.7873
      0.400      370.0     13.1734      8.8174     11.7873
      0.400      375.0     13.1734      8.8174     11.7873
      0.400      380.0     13.1734      8.8174     11.7873
      0.400      385.0     13.1733      8.8174     11.7873
      0.400      390.0     13.1733      8.8174     11.7873
      0.400      395.0     13.1733      8.8174     11.7873
      0.400      400.0     13.1733      8.8174     11.7873
      0.405      200.0      3.5302   -162.6115    -49.0819
      0.405      205.0      4.6574   -142.9964    -42.1034
      0.405      210.0      5.6924   -125.3829    -35.8212
      0.405      215.0      6.6638   -109.0465    -29.9862
      0.405      220.0      7.5376    -93.4686    -24.4571
      0.405      225.0      8.3056    -78.3372    -19.1412
      0.405      230.0      9.0146    -63.5651    -13.9790
      0.405      235.0      9.6842    -49.0501     -8.9246
      0.405      240.0     10.4464    -36.7800     -4.5186
      0.405      245.0     11.0156    -27.1055     -1.0661
      0.405      250.0     11.4093    -19.3686      1.6533
      0.405      255.0     11.7175    -13.0991      3.8497
      0.405      260.0     11.9794     -8.0128      5.6397
      0.405      265.0     12.2035     -3.9142      7.0912
      0.405      270.0     12.3936     -0.6461      8.2564
      0.405      275.0     12.5553      1.9274      9.1821
      0.405      280.0     12.6932      3.9311      9.9111
      0.405      285.0     12.8126      5.4902     10.4864
      0.405      290.0     12.9193      6.6715     10.9334
