1	1.0018614285363244e-09
2	7.603889134674925e-10
3	7.242198473757339e-11
4	0.06783392640146743
5	0.0
6	1.9399664575717644e-12
7	1.0730520919766898e-10
8	8.881331283347408e-10
9	4.1518099657021157e-10
10	8.961934488189677e-09
11	1.6760542811422204e-10
12	2.963034610104014e-07
13	1.3722775946222826e-08
14	3.706715638025189e-08
15	7.56273313255529e-07
16	2.6390955808523925e-08
17	7.68690538665037e-10
18	6.216936479918778e-09
19	7.832371450694836e-08
20	1.1141559249790766e-07
21	5.5131763003693025e-08
22	9.356426757098967e-10
23	8.427751095885475e-08
24	2.992275197307675e-08
25	3.598750085227075e-08
26	2.856099522595654e-08
27	3.0902451946654255e-08
28	8.725259063571101e-08
29	1.4660688256111523e-08
30	1.0751106799781144e-08
31	1.0876975284600035e-08
32	2.0034144375336494e-08
33	1.657527998259334e-07
34	1.3640275028120475e-07
35	5.3636973529359415e-09
36	9.60670320399792e-09
37	1.985071839743789e-08
38	5.611895235013877e-08
39	4.274312189354332e-08
40	6.393513617700536e-08
41	1.5537959389426197e-08
42	1.4659717903988658e-07
43	5.187348721277224e-08
44	3.399130977927602e-08
45	7.305919887283944e-08
46	1.2234684298449198e-07
47	6.534003492887652e-08
48	1.0480541648744816e-07
49	7.34965804358708e-08
50	4.270235851575714e-06
51	1.3736557434973286e-06
52	1.3982990267971618e-05
53	4.7010051545061405e-06
54	0.00013803536304658092
55	3.852241751505186e-05
56	0.00014777236600328392
57	3.087027745045475e-05
58	0.0013939980541215165
59	2.6294320481407904e-05
60	8.051877523555375e-05
61	2.8626194013832828e-05
62	0.004187077951002993
63	2.82121042695044e-05
64	0.0002706567192575679
65	5.746383212773582e-05
66	0.0004563098665885166
67	5.196454403541417e-06
68	0.00018235493761482397
69	6.61469188569698e-06
70	1.0319171005789533e-05
71	1.5220151384148478e-06
72	6.961081927780946e-05
73	1.0338320962522484e-06
74	1.3646108874639579e-05
75	2.6817351000313275e-06
76	6.0420186260254715e-06
77	2.296165398220564e-06
78	2.0128348715561087e-05
79	1.8776852952725906e-06
80	6.430296734755774e-06
81	3.0734668664895048e-06
82	4.01496273745582e-06
83	2.8004348589306376e-06
84	2.183547332856033e-05
85	1.1752247986600544e-05
86	0.00017464253462244232
87	4.6010857942128034e-05
88	0.0012648350507644525
89	0.00014084502570086647
90	0.00020747220596376858
91	2.4195507088162135e-05
