Star: CS31082;    Mass table: dz28
Tables of ages from Th/U, Th/X and U/X chronometers
=============================================================
      Ye         S_final      Th/U      Th/X       U/X
      0.415      215.0      8.4552   -207.8587    -60.1336
      0.415      220.0     10.1153   -184.4448    -51.5863
      0.415      225.0     11.4833   -161.6536    -43.4347
      0.415      230.0     12.3705   -139.1773    -35.7092
      0.415      235.0     12.8822   -117.0288    -28.3426
      0.415      240.0     13.2494    -95.4628    -21.2587
      0.415      245.0     13.5898    -75.0542    -14.5598
      0.415      250.0     13.9958    -56.8689     -8.5210
      0.415      255.0     14.5085    -41.5522     -3.3188
      0.415      260.0     14.9970    -29.0604      0.9717
      0.415      265.0     15.3536    -19.0948      4.3720
      0.415      270.0     15.5882    -11.1666      7.0439
      0.415      275.0     15.7594     -4.7359      9.1982
      0.415      280.0     15.9114      0.4671     10.9503
      0.415      285.0     16.0520      4.4908     12.3209
      0.415      290.0     16.1687      7.3935     13.3201
      0.415      295.0     16.2567      9.3478     13.9991
      0.415      300.0     16.3243     10.5987     14.4414
      0.415      305.0     16.3796     11.3900     14.7298
      0.415      310.0     16.4233     11.8965     14.9200
      0.415      315.0     16.4551     12.2248     15.0456
      0.415      320.0     16.4810     12.4579     15.1371
      0.415      325.0     16.5016     12.6120     15.1999
      0.415      330.0     16.5121     12.6942     15.2331
      0.415      335.0     16.5137     12.7187     15.2419
      0.415      340.0     16.5138     12.7204     15.2425
      0.415      345.0     16.5138     12.7203     15.2425
      0.415      350.0     16.5138     12.7203     15.2425
      0.415      355.0     16.5138     12.7203     15.2425
      0.415      360.0     16.5138     12.7203     15.2425
      0.415      365.0     16.5138     12.7203     15.2425
      0.415      370.0     16.5138     12.7203     15.2425
      0.415      375.0     16.5138     12.7203     15.2425
      0.415      380.0     16.5138     12.7203     15.2425
      0.415      385.0     16.5138     12.7203     15.2425
      0.415      390.0     16.5138     12.7203     15.2424
      0.415      395.0     16.5138     12.7203     15.2424
      0.415      400.0     16.5138     12.7202     15.2424
      0.420      200.0      3.4793   -280.7635    -86.6165
      0.420      205.0      5.0465   -264.2492    -80.3189
      0.420      210.0      6.4260   -247.7439    -74.1515
      0.420      215.0      7.4586   -227.2971    -66.9706
      0.420      220.0      8.8248   -203.5023    -58.5021
      0.420      225.0     10.4374   -180.0770    -49.9834
      0.420      230.0     11.6847   -157.2663    -41.9076
      0.420      235.0     12.4693   -134.7972    -34.2541
      0.420      240.0     12.9327   -112.7266    -26.9449
      0.420      245.0     13.2955    -91.3417    -19.9214
      0.420      250.0     13.6348    -71.2840    -13.3344
      0.420      255.0     14.0728    -53.6830     -7.4590
      0.420      260.0     14.5972    -38.9476     -2.4331
      0.420      265.0     15.0702    -26.9605      1.6869
      0.420      270.0     15.4065    -17.4096      4.9421
      0.420      275.0     15.6276     -9.8096      7.5008
      0.420      280.0     15.7928     -3.6342      9.5700
      0.420      285.0     15.9416      1.3608     11.2540
      0.420      290.0     16.0788      5.2148     12.5685
      0.420      295.0     16.1915      7.9823     13.5221
      0.420      300.0     16.2764      9.8301     14.1654
      0.420      305.0     16.3423     11.0072     14.5831
      0.420      310.0     16.3958     11.7378     14.8510
      0.420      315.0     16.4365     12.1923     15.0226
      0.420      320.0     16.4663     12.4925     15.1380
      0.420      325.0     16.4913     12.7055     15.2225
      0.420      330.0     16.5108     12.8502     15.2816
      0.420      335.0     16.5197     12.9222     15.3104
      0.420      340.0     16.5209     12.9425     15.3177
      0.420      345.0     16.5209     12.9436     15.3180
      0.420      350.0     16.5209     12.9435     15.3180
      0.420      355.0     16.5209     12.9435     15.3180
      0.420      360.0     16.5209     12.9435     15.3180
      0.420      365.0     16.5209     12.9435     15.3180
      0.420      370.0     16.5209     12.9435     15.3180
      0.420      375.0     16.5209     12.9435     15.3180
      0.420      380.0     16.5209     12.9435     15.3180
      0.420      385.0     16.5209     12.9435     15.3180
      0.420      390.0     16.5209     12.9435     15.3180
      0.420      395.0     16.5209     12.9435     15.3180
      0.420      400.0     16.5209     12.9435     15.3180
      0.425      200.0      1.9277   -295.4454    -92.3228
      0.425      205.0      3.7685   -277.6498    -85.4333
      0.425      210.0      5.3366   -261.2088    -79.1584
      0.425      215.0      6.7107   -244.4438    -72.9124
      0.425      220.0      7.7397   -223.2079    -65.4838
      0.425      225.0      9.1792   -199.2524    -56.9146
      0.425      230.0     10.7165   -175.8184    -48.4443
      0.425      235.0     11.8509   -152.9776    -40.4356
      0.425      240.0     12.5472   -130.5442    -32.8533
      0.425      245.0     12.9808   -108.5869    -25.6003
      0.425      250.0     13.3340    -87.3946    -18.6443
      0.425      255.0     13.6832    -67.7467    -12.1805
      0.425      260.0     14.1525    -50.7363     -6.4710
      0.425      265.0     14.6814    -36.5463     -1.6149
      0.425      270.0     15.1378    -25.0236      2.3466
      0.425      275.0     15.4555    -15.8552      5.4680
      0.425      280.0     15.6653     -8.5538      7.9243
      0.425      285.0     15.8254     -2.6140      9.9154
      0.425      290.0     15.9710      2.1878     11.5361
      0.425      295.0     16.1044      5.8868     12.7989
      0.425      300.0     16.2133      8.5286     13.7101
      0.425      305.0     16.2951     10.2353     14.3065
      0.425      310.0     16.3587     11.2856     14.6825
      0.425      315.0     16.4100     11.9424     14.9255
      0.425      320.0     16.4486     12.3637     15.0852
      0.425      325.0     16.4773     12.6474     15.1946
      0.425      330.0     16.5020     12.8507     15.2758
      0.425      335.0     16.5202     12.9847     15.3306
      0.425      340.0     16.5273     13.0468     15.3551
      0.425      345.0     16.5281     13.0634     15.3609
      0.425      350.0     16.5281     13.0633     15.3609
      0.425      355.0     16.5281     13.0633     15.3609
      0.425      360.0     16.5281     13.0633     15.3609
      0.425      365.0     16.5281     13.0633     15.3609
      0.425      370.0     16.5281     13.0633     15.3609
      0.425      375.0     16.5281     13.0633     15.3609
      0.425      380.0     16.5281     13.0633     15.3609
      0.425      385.0     16.5281     13.0633     15.3609
      0.425      390.0     16.5281     13.0633     15.3609
      0.425      395.0     16.5281     13.0632     15.3609
      0.425      400.0     16.5281     13.0632     15.3609
      0.430      200.0     -0.0476   -312.6641    -99.1207
      0.430      205.0      2.2248   -292.3318    -91.1344
      0.430      210.0      4.0610   -274.6793    -84.2934
      0.430      215.0      5.6287   -258.3150    -78.0430
      0.430      220.0      6.9991   -241.1609    -71.6762
      0.430      225.0      8.0401   -219.1904    -64.0066
      0.430      230.0      9.5059   -195.1354    -55.3881
      0.430      235.0     10.9539   -171.6792    -46.9714
      0.430      240.0     11.9830   -148.8421    -39.0353
      0.430      245.0     12.6075   -126.4806    -31.5246
      0.430      250.0     13.0254   -104.6497    -24.3223
      0.430      255.0     13.3644    -83.6570    -17.4392
      0.430      260.0     13.7354    -64.4767    -11.1088
      0.430      265.0     14.2325    -48.0261     -5.5578
      0.430      270.0     14.7612    -34.3383     -0.8610
      0.430      275.0     15.2002    -23.2398      2.9543
      0.430      280.0     15.5013    -14.4204      5.9537
